Id,Geography,key,order,value
0400000US33,New Hampshire,200000+,11,5.4
0400000US34,New Jersey,Total,1,3181152
0400000US34,New Jersey,<10000,2,5.6
0400000US34,New Jersey,10000 to 14999,3,4
0400000US34,New Jersey,15000 to 24999,4,8.3
0400000US34,New Jersey,25000 to 34999,5,7.9
0400000US34,New Jersey,35000 to 49999,6,10.8
0400000US34,New Jersey,75000 to 99999,7,12.7
0400000US34,New Jersey,50000 to 74999,8,16.2
0400000US34,New Jersey,100000 to 149999,9,16.9
0400000US34,New Jersey,150000 to 199999,10,8.3
0400000US34,New Jersey,200000+,11,9.2
0400000US35,New Mexico,Total,1,760251
0400000US35,New Mexico,<10000,2,10
0400000US35,New Mexico,10000 to 14999,3,6.8
0400000US35,New Mexico,15000 to 24999,4,13
0400000US35,New Mexico,25000 to 34999,5,11.4
0400000US35,New Mexico,35000 to 49999,6,14.2
0400000US35,New Mexico,75000 to 99999,7,11
0400000US35,New Mexico,50000 to 74999,8,16.8
0400000US35,New Mexico,100000 to 149999,9,10.3
0400000US35,New Mexico,150000 to 199999,10,3.7
0400000US35,New Mexico,200000+,11,2.8
0400000US36,New York,Total,1,7214163
0400000US36,New York,<10000,2,8.1
0400000US36,New York,10000 to 14999,3,5.3
0400000US36,New York,15000 to 24999,4,10.1
0400000US36,New York,25000 to 34999,5,9
0400000US36,New York,35000 to 49999,6,11.9
0400000US36,New York,75000 to 99999,7,11.8
0400000US36,New York,50000 to 74999,8,16.6
0400000US36,New York,100000 to 149999,9,14
0400000US36,New York,150000 to 199999,10,6.1
0400000US36,New York,200000+,11,7
0400000US37,North Carolina,Total,1,3721358
0400000US37,North Carolina,<10000,2,8.5
0400000US37,North Carolina,10000 to 14999,3,6.4
0400000US37,North Carolina,15000 to 24999,4,12.2
0400000US37,North Carolina,25000 to 34999,5,11.9
0400000US37,North Carolina,35000 to 49999,6,14.9
0400000US37,North Carolina,75000 to 99999,7,11
0400000US37,North Carolina,50000 to 74999,8,18
